A	B	C	label
那组织部啊	组织部😂😂组织部可是GX必须要硬…综合实力要强，所以检察院和就业服务中心就不考虑了是嘛😊😊	能到市里任何一个单位都比县里好，平台决定天壤之别。至于省直倒未必比市直好	others
你不是颓是有点飘了……哈哈	哈哈，是吗？如果我真找到一个漂亮老婆，我估计得飘到天上去了[飙泪笑]	让你漂亮老婆拉根绳，你带她一起飘[捂嘴]	happy
唉只能做朋友	你讲吧做朋友比做情侣还开心后悔当初答应他	后悔哈哈我很好奇后来发生了什么	others
网吧内存当硬盘小儿科了！我挂机都在用无盘，游戏装在内存里。内存读写速度是1.6万mb，4kb是600m。固态是500mb，4kb 20，sas，100和0.1	我承认是我土鳖了，没见过1TB的内存。。	之前CPU便宜的时候，2500租一台 24线程  48G内存的服务器挂机。。内存前个月 4G D3 才70元。	others
给想提高翻译的筒子们推荐	主页妞儿要关掉电脑整理笔记去咯	谢谢啦我加你叭以后多交流我想考翻硕的	happy
要是回购看穿算青训吗？不算就没啥意思了	算	当年逼走瓜秃的不就有皮克	others
所以……京东的快递员是京东的员工，马云旗下可真没有快递员~比较五险一金和工资不是马云发~	但是他通过菜鸟，完全的拿走了四通一达的大部分利润	那也是合作吧……	others
你特么家学渊源每一代都是狗比都是被操的命你特么爽死了是吧，你全家都是狗比贱命	狗生没娘养的出来咬人 SB说你是狗都特么侮辱了狗	草你妈比你妈哭着喊着求爷跟她玩sm你不知道？回家问你妈一边被操一边挨抽的滋味你妈肯定告诉你爽歪歪，贱比你现在也要学你妈了？草你麻痹一个大曼联吧出你这种贱比也是起了怪，你特么跪舔一个台湾狗自己跪舔去来曼联一个足球吧干嘛？跟你全家一样天生贱货吧你	angry
评论区一堆人说我不会做，我特么不死心，这周我再去拿800个来！如果按照你们说的做出来不好吃，还是恶心的要死，我就打死你们！	老哥你在哪儿呢？我能带点酒菜去找你蹭猪蛋蛋不？	你在哪	others
你咋就知道个我老公你是不想捡肥皂了	原来是你想戴	哈哈哈哈哈	happy
看到这个问题我就笑了，看见你的答案我就赞了。看过几个外国人up主，有些国人以为他们嘴上说着中国好棒棒，我爱中国，心里就真这么想吗？十几岁的小孩就算了，都二十多了还这么天真，自欺欺人很爽？	这就是在影射中国人的劣根啊😂	你仔细看看我评论说的是啥(ー_ー)!!	others
所以国家不好管的原因和后果都算我们头上？	是不是我要写一句手动加狗头你才看得懂我什么意思？	好啦，表激动，随意说说啦，哈哈哈	happy
如果我银行卡密码是123321怎么办	就你话多……	什么梗	others
抱抱答主，看得我挺有共鸣的。我是那种化妆，整容，ps三大邪术都救不了的相貌，好在我家人一直坚定不移地觉得我好看并且拼命赞美，所以一直没有自卑。不过长大后和异性交往还是能感觉到。我觉得首先心态摆正吧，根本没必要自卑或者沮丧，这种改变不了的东西沮丧也没用。第二就是尽可能在着装和身材上做得更好，虽然结果可能然并卵，但是好身材让人显得精神有活力，好衣品让人有高级感，以上两点都能让人更潇洒更自信。第三，答主的思路是对的，多赚钱。同样一根金条，没人会因为是美人赚的还是丑人赚的而区别对待。第四，如果有可观的财产和能力，你可以考虑移民，比如说美国这种多民族多人种杂居的地方，审美多元化，没人搞得清楚你丑不丑，社会包容力也强，再不济还有罗玉凤在那边给你垫底，怕什么？最后，如果自己有足够的财力和社会地位，在社会观念发达的国家可以考虑生个孩子，“儿不嫌母丑”，生活也会更充实更有动力。反正几十年后大家都是大妈，到时候谁穷谁丑。（是不是觉得有奋斗的动力了？）	外国人审美多元化 中国人真的有点局限狭隘 所谓的美女我看来也是假惺惺做作，没有特别美的人，大多数人都是普通人，发型 着装 健身 阳光可以改变很多	好的皮肤状态比化妆重要，所以优先护肤！	others
答主的说法挺接地气儿，其实现实中很多女孩也是这样做的，并没有什么错。但你有没有想过这限制了女孩的自由，爱美想穿露脐装但不敢，天热想穿超短裙但不敢，想要玩得晚一点再回家但是不敢，因为怕不安全。这是对现实的妥协，是退而求其次。我们希望社会改变，变得更加安全，色狼更少，女孩有更多的自由。这先得从意识形态开始吧，得让大家都意识到责任不在女孩而在于犯罪者，遇到案件去骂罪犯而不是受害者。从这个角度出发我觉得这种政治正确没什么不好的，只是委屈唐僧先生受一下连带伤害啦m( _  _ )m	对，面对现实忠于理想。	谢谢，有人看懂好开心～	happy
那您的意思是做工作不需要考核效果？只要你做了就行？反正不管工作效果如何还拿多少工资还得拿？教师的工作本身就是教育，难道作为教师您认为的教育只是上课？而不去管孩子的受教育成果？呵呵，那说真的，你不配拿这份工资。你有这种想法就是铁饭碗拿久了。。。就是扫大街也要保证能扫干净吧？您作为老师不用保证学习效果？还想着大家都得感谢你。。。请问你感谢过没一个为你服务过的服务员，帮你盖房子的建筑工人，修过草坪的园林工人吗？笑话！	另外，指出你的两个误解：教师的工作是教学，教学不等同于教育。保证教学效果不是额外付出，这是基本的教学技能。别太狭隘了，以己度人是毛病，得改。	哈哈！您是教体育的嘛？还敢提阅读能力？我有哪一个字说到要保证每个学生？	angry
宋智孝的应该是真的	"她就属于""小部分""里的部分了嘛"	全度妍应该也是	others
去年工行全国范围宕机事件，不就是因为系统升级失败导致的么。	银行系统比较特殊，一般数据库及系统升级前都会有大量仿真，监控系统会即时跟进。工行有些服务器不符要求，公司已经建议更换，工行未按照协议进行。系统升级过程监控系统多次预警，工行相关人员并未停止操作回退系统。事后IBM向客户提交了详细的事件分析报告，主责并不在IBM。	你要是能提供你们那方面的一些内部信息，我把这些更新到主楼里。毕竟现在我看到的只是12306内部的说法。	others
今年华为是本科生8k， 研究生9k～一个买车的群里听一个华为的人说的～	所与我才说层主的平均太低了	我也觉得。。。看那些公务员的都挺苦逼 不知道哪里来的优越感。。。	sad
老。哥，我发现你上了大学成绩有所下降，然后又冲了一波研究生😂	只能说大多数人上了大学就不去争第一了我也不例外，另外俺们学校学霸有的是，我来自老少边穷地区，本来就有差距。	我是看了您说的公务员的回答过来的，在思考考公与否，觉得您讲的特别有道理，而且感觉个人性格与您有点像，不过没老哥那么优秀。非常感谢您的回答，已关注	others
这位同学，你想入职我们中国军事未来学协会吗？我们张召忠会长非常重视你这种人才	怕我还没入职，就被知乎钦定阴阳怪气了	谁踏马敢动中国军事未来学协会的人？就不怕被炮决？	others
中国证券业协会网站怎么打不开啊	urlcsigninaspx这个网址可以终于打开了真心的不容易各位加油啦	谢谢啊果真能打开呢真挺不容易的	others
我也在倒时差，决心变成早睡早起的家伙	嘻嘻一起！该养生还是得养生	我的仓鼠找不到了。。。。。。。	sad
给王传君这种借势营销弄得有点恶心。以他那点知名度，在微博上说了句我不喜欢，然后说这个的文章我至少看见三篇了，我还是一个很少看娱乐消息的人。要说他没给钱我是不信的	别说王传君，别说罗曼蒂克消亡史，随便其他哪个演员敢这么说，都能火成这样	哦	others
要是长得帅了，我等屌丝不能身临其境呀	所以男看日本  女看韩国	哼，我就喜欢韩国的三级，不喜欢日本的av	others
抢钱之所以称为抢钱，是因为钱不属于你，强奸直说已成为强奸，就是因为强奸者不愿意。君子不立于围危险之下和强奸有什么共通？？危险这两个字？？有多少钱是明摆在面上被抢的？有多少大姑娘是脱了衣服在街上走被强奸的？危险之所以成为危险是因为其不确定性。就像前段时间智力有问题的女流浪汉被强奸至怀孕她并没有自制能力，所以人家活该喽？你是不是还要扯别的问题？中国是有句古语叫做“君子不立于围墙之下”中国还有句古语叫做“君子不乘人之危”“君子爱财取之有道”“坐不乱”呢为什么我们赞颂“拾金不昧”就是因为人心的正面去抵制了自己的本能。要是从思想影响上讲，一个女人出去喝酒喝到不省人事，出了事情多半人也会去说这个女人自我保护能力差，但是你作为一个有思想有头脑并且有一定影响力的人并不能够去谴责这个女人活该，咎由自取，错误在于她，举个例子小米案，小米被强奸挣扎想要保护，被杀害，凶手竟然说出了她乖乖被我强奸就没事的理论，赞同的除了一部分直男癌，就是剩下博学的“公知”。且不说这扭曲的理论，就说一下你们随手一评的围脖帖子，会给多少青少年普通群众造成“女的穿的少就该被强奸”“女的晚回家就是不要脸”“女的被强奸绝对不是无辜的”印象，他们可能本身沉睡的邪恶思想就此被点燃。就比如这些在你的教科书上的《论语》，《散文》公益广告上的片段，思想品德课上的文字各式各样让你去阅读观看理解的内容，谁都知道你不可能做到，可还是处处都是，为的是什么，为的就是你能够接受哪怕一丁点，人之所以为人，是能够克制自己的欲望，“美之所以为美以恶也”。头一次上知乎，我乡下来的，思想不够进步，我是听闻知乎多学者多才来的，没想到学者确实不少，公知也有其甚多，请不要拿着你的博学多才去证明一个看似正确的强盗逻辑。更希望我们利用自己有限的能力去散发正确的影响。不然你还不如一个圣母婊，他们起码对别人还有点约束力。也想告诉那些偏执的学者，你拥有万卷书的学识，不管是为了自己，家人，国家，不求你教人为圣贤，只求别把人影响成一个为自己的邪念去找理论的废物。	太赞了，痛快	谢谢啦	happy
受教育程度及境遇好快并不能评判智力高低吧？答主是不是误解了智力的意思？	那你说智力是什么？	您知道百度吗？	others
我要是画的好了我也收费去啊最近都没有饭费了	沿街卖画去吧哈哈	哈哈这个我看可以啊	happy
怎么我就   我也是西安人好伐	西安哪里的？明天周末出去喝杯茶吧。	好哒	others
拓哥。。。我就想知道。。。你咋总是被碾压的那个。。。	哈哈 你们都好可爱	拓哥最可爱～	happy
难道只有我一个人觉得台版的恶作剧之吻是最难看的吗	只看过柏原崇版的哪版直树我都不愿直视现在日版这个朋友推荐几次了所以我好几次都打算看但每次正要看的时候就又不想看了	哈哈真的可以试试的还不错的柏原崇那版的琴子硕大的招风耳是招牌	happy
有黄教主！特别出演哦(´-ω-`)意不意外？惊不惊喜？	他能有多特别。。。。。。我的琅琊版。。。。。。。	大概特别到别的演员是领片酬入剧组，他带投资去剧组。就是那么特别😊	others
你知道得很多?你双规过人？审讯过几个违纪人员？做过几份笔录？查过几笔帐？去过检察院跟他们玩监视居住没有？到监狱看过监区没有？知道市委书记真乱关人，关出人命来后果有多严重不？知道市委书记未办理正规手续就关人叫非法拘禁不?知道市纪委书记这个位置也不是省油的灯不？知道市纪委书记的任命也要省委常委会通过不？知道市纪委书记是相对安全经常被人说只有他查人没有人查他的位置不？知道市纪委书记可能一换届就翻身成市长不？知道市纪委书记的后台也很可能是部级以上不？	看把您急的，气的。。。，跟您赔不是。按您这么分析，您最多混到处级到头了！	穷人家孩子，处级就不错了。我也没有急，就是告诉你一点道理。不知您能混到厅还是部呢？	others
一次更新两个小时你能忍？早就被客户爸爸骂死了好么。	更新2小时只能说你电脑台差了	嗯！有道理！	others
大部分的人们是上午上班没点儿，下午上班没人，体制内挂着职，体制外创着业！	扯淡，上下班要打卡的好吗	那个部门？哪个局？哪个所儿？	others
海盗船了解一下	哇⊙ω⊙海盗船贼贵	你就问哪个牌子好，我当然给你推荐好的了😏	others
希望和平演变的那群不会做自干五，他们能看到问题，也清楚问题的根本原因，这些人是不会为tg辩护的，更不会认为tg什么都对。	自干五可不是认为tg什么都对	自干五们大多是自认为自己不是那种认为tg什么都对的人，自干五们是在各种场合问题上维护tg的群体。自干五们不这么认为，他们只这么做。	others
赶上直播了么？[好奇]	并没有，答主准备出门了。答主觉得现在基本尘埃落定，他们的杠点答主已经看懂并学会了。答主决心过几天出个教程。“如何当一名合格的粉丝。”	[捂脸]好的。已关注。坐等更新	happy
作者写的已经比较详细了，我再补充一点。之前我呆过类似的公司，很明白运作方式。CPS和CPA是一定要做的，这部分带来了大量的点击和转化，而且客单价比较高，收入稳定，不需要融资。能看见的漂亮女生，要么是马甲，要么是外围。任何一个社交软件都藏有大部分的马甲，而且产品逻辑就是，只要你一注册登录，就会有马甲给你发消息语音图片，都是一些胸大无脑的图片～然后马甲会诱导你充值，充值完了，这马甲也就不说话了。所以，大家在QQ、微博、头条、百度、陌陌这一系列靠广告营收的平台，通通有这类产品，不要点，全是一个性质。包括菠菜网站，h网这类上面类似的广告，也都一样。这种公司本来就是捞一把就跑，现金流很健康，因为用户成本还是远低于一个付费用户的。有评论说这个骗子行为，但是这个真的没法立案。购买得都是虚拟物品，没有办法界定这个怎么算欺诈，因为你享受到的是平台提供的信息服务，而不是看得见的东西，管不了。	没事点着玩行不行?	可以，点一下那些网站要花一块到三块左右	others
这个，对省直机关我也有点了解，不到四十的正处确实有，不过七年从毕业到副处基本上也是没耽搁了，或许您真的是特别出色。另外我没觉得身为二代有什么原罪，我只是陈述事实，没有想给您扣什么帽子，是就是，不是也无所谓。	亲，我可不是毕业七年，转业时我的工龄已经有8年了，言语冒犯处，还请海涵	没事，我对军人还是很尊敬的，讨论问题嘛，没有什么得不得罪的。祝一切顺利。	others
有了条件，那么命题肯定是对的呀。就好比一个善良的富翁只有一个恶毒的儿子继承人，那么假如儿子想获得钱财，不惜动用歪念害死老爹，那么在这个事件中，必然是儿子害死有钱老爹，老爹没有害死儿子之心。但那你能说，或者得出，如果真有这种恶念，社会上只有儿子想害死老爹，老爹都不会害儿子吗？	说你玻璃心并没错，因为我句句都扣着以配偶命谋财这个观点来说的，可没有通称呢!通称观点都是你强加给我的。请问我是否说过女性人性比男性更恶劣，或者只有女性谋害丈夫，却没有男性谋杀妻子呢?我的话是“男性为了钱希望自己老婆死的怕是不多吧!”我没说没有男性为了钱希望自己老婆死吧!我只说不多而已。亲爱的对方辩友，你真的有看清楚你攻击的观点吗?	哈，怕是不多，这是一个比较级，和谁次呢，和女人。请问你又是怎么得出这个高下比较的？还要狡辩	others
我是南京人。。	南京是大县城。	我的妈 原来是高贵的魔都人 失敬失敬	others
密钥 几乎每个人都念成 秘药 。尽管我也知道应该念做 蜜月。但也和大家一样读秘药。语言嘛，就是用来交流的，交流无障碍即可。管太多没用	【mì yuè】读音下的“密钥”的意思：紧密的锁闭。这里的用法用了“密钥”的动词性质。【 mì yào】读音下的“密钥”的意思：密码学中的专有名词，指解密所需要的特殊代码。这里用了“密钥”的名词性。密钥现代用的最多的是密码学中的意思，在英文中解释为key，中文意思偏向于钥匙。在密码学中，特别是公钥密码体系中，密钥的形象描述往往是房屋或者保险箱的钥匙。因此在技术词典中，密钥被标注为【 mì yào】。在一些词典中原来把密钥标注为【mì yuè】，由于权威性带来了一些影响，所以也有很多人把密钥念作【mì yuè】。由于钥在读作【 yuè 】也可以作“钥匙”的解释。但是钥被念作【 yuè 】时，往往偏向于钥的动词性，这种性质就跟“血”的用法相似。总而言之，密钥一词虽然古来有之，但是密码学赋予了密钥一词新的含义，所以密钥的读法可以根据不同的背景来选择，可以读作【mì yào】，也可以读作【mì yuè】，但由于密码学的影响，现在人们普遍把密钥读作【mì yào】。	五体投地。自愧不如	others
好的，谢谢你～	先来了再说，生活是要靠自己去体验的。	谢谢。	others
我晕，你这黑子，跟我观点又一样	我擦，我藏的怎么底下了，还是被你这脑残找到了	你才是脑残	angry
家庭和父母对孩子的影响真的是挺大的我都不知道自己该怎么办了但都说做朋友了我还能怎样朋友就朋友吧我会控制自己不去联系她见她我好好的让自己强大起来吧丰富自己先做好自己其他的都不想管了	恩是的强大自己感情的事情是勉强不来的	是啊现在自己难过痛苦都是自己不够强大我不想再因为别人的言语牵动自己的情绪我不想自己那么可怜兮兮的求着她来爱我	sad
？？？	还有杭州温州，绍兴政府用车没见过日韩系的。还有消防车辆这几年逐步换国产。。不知道什么原因政府武警等这些的公车大型车辆国产小型车辆是欧没车。	你有空的话用下百度，搜一下，考斯特+人名，不难的操作。	others
你知道输血也会有可能感染吗，一生出来也有可能会感染吗，你有认真了解一下HIV吗	当然知道，血液，母婴。这些大概都是医生的错	也不是说是医生的错，谁都没错，互相理解就好，	others
楼主你在放弃治疗的那段时间里是怎么度过疼痛期的呢？具体有多久没吃药呢？然后想问下为什么现在又考虑去医院治疗了呢？	这几年不断升级止痛药，常规塞来昔布，偶尔羟考酮或曲马多，有5年左右没规范治疗吧。过了这么久，真的就是想了解一下有没有更先进的治疗方法。	楼主这五年时间主要吃些止痛药度过的是这样吗？我朋友刚发现AS，有没有好的对策呢？谢谢楼主！	others
一些崇洋媚外的东西，外国的月亮真的比中国的圆？	毕竟有些人奴性还是挺强的	华为有种不用外国的，屏幕日本jdi的，内存和存储三星的lg的海力士的，摄影头索尼的，还不说芯片方案，还不说安卓，你牛逼你不用外国的月亮撒	others
cnm大sb	说这种话你结婚了吗？大学生吧？刚学了法律？你妈被人欺负了，你去跟人讲法律？	我哪句说过要讲道理？打人本来有理都变理亏。你们这帮混蛋不说点有用的，说什么该打该死这些屁话。	angry
我是觉得薛之谦的作品烂爆了。不是风格不合。这是我听了薛之谦的歌得到的结论。	不多说，从歌曲中得到感悟就好，自己的欣赏水平得到提升。不过，听了那么多好歌，用词不应该停留在烂爆了这种程度，多点花样[捂脸]	能形容出他的水平就好了。不用兜圈子。简单，最好了。	others
你说的是邵峰吧？	那看来是老学长了	嗯	others
你这么秀为什么没有评论	现在有了	233	happy
借你吉言好妹纸	祝楼主幸福	oo谢谢加关注吧做个好朋友	happy
好嘞我决定明年一定要再去一次哈哈哈哈等明年有长假我要做好一切准备义无反顾的奔去	恩明年吗·貌似还是比较遥远啊孩子	嘻嘻嘻今年好好存钱我还是个穷学生呀得做好一切准备当个名副其实的吃货而且我得使劲减肥这个去那了才能多吃点哈哈哈	happy
送老妈什么好快过年了	楼主买了吗	已经买了胶原蛋白谢谢亲到货后来汇报	others
比如席尔瓦，比如阿扎尔	哦，我说的那种花哨的。	这俩人踢得不花很实用	others
问出这种问题说明你对社会认识不够深刻	做出这种回答说明你不懂装懂	嗯	others
哈哈哈，你懂的	小火车开起来	呜呜呜呜……	happy
身为西安本地的大学生的我无话可说←_←俨然成为祖国的绿萝……	我也……	握手	others
突然觉得我们学医的还是不错的，越老越有人挖墙脚，而是是高新，我们年轻时是穷鬼一条，35岁左右人生越走越宽。。。	是的，越走越宽，是很多职业没有的	一次饭局，我们两个院长就说，年轻时，穷点，别怕，坚持走下去，饭总会给你们养家的。不过跟人家年薪几十万，上百万的比。。。。。。。😂😂😂😂😂😂😂😂等你到了一定程度，薪资自然而然就来了。	others
你说我是谁	唔我不知道你是谁扣手	慢慢猜咩哈哈	happy
首先你要有个目标，之后达到你目标需要的专业知识，最后通过增加阅历把自己推销出去～	最近在看《穷查理宝典》，解决了我的很多问题，尤其是关于学习各个专业的知识共同作用的观点。	谢谢推荐，回去查！	happy
离离离离离离离离离离离离离离离	打破205赞零回复惨案	谢谢老板。	happy
那话说豆瓣现在8.0这个评分合适还是之前的8.5（超越银翼杀手逼近2001太空漫游）合适呢？文戏无论怎么说也是配不上8.3以上的水准的，科幻方面很棒了但是和银翼杀手之类差距有一些吧？本身就是分数合理的回归	如果不是知道一星占比已经2%了（这在7分以上的电影中是史无前例的）和豆瓣热评全是从5星改成1星的丑闻，我差点就信了。	如果不是稍微加权算了一下没这2%的一星顶多也就高0.1，我也信你了	others
沈腾最后那个什么意思？	装阙求让座，沈腾机智的装作司机，没法让座	谢谢答主~	happy
但是清王朝被推翻了啊，慈禧逃难的时候也不是过得很好（但是比一般人好就是了），而且慈禧这个政治人物太复杂了，马步芳最后不也流落海外了么。。其实算有恶报了，只是他们的起点太高，所以有了报应也比一般人好。。	心里安慰大法可以的。	必须的。。。不然怎么活下去	others
怪叔叔没有退散么一巴掌	有找英语陪练的蜀黍还有糊弄我玩的蜀黍╯﹏╰	哈哈哈哈哈哈哈哈哈	happy
根据党组织的现状，整党中把党员分为四部分人：（一）具备党员条件的；（二）不完全具备党员条件，或者有较严重的毛病，必须加以改正提高的；（三）不够党员条件的消极落后分子；（四）混入党内的阶级异己分子、叛变分子、投机分子、蜕化变质分子等。中央要求，整党时，首先将第四部分人清洗出去，然后对第二部分人、第三部分人加以区别，对其中经过教育仍确实不符合党员条件者劝其退党。根据中央的要求，各级党委在对党员进行审查鉴定阶段，一方面坚决清除混入党内的各种坏分子，以纯洁党的组织；另一方面教育提高不完全具备党员条件，或有较严重毛病的党员，使他们努力符合于党员条件。对于拒绝接受教育或经教育改造无效的消极分子，采取妥善方法劝其退党，或撤销他们的党籍，以提高党的纯洁性和战斗力。一一来源：《中国共产党历史》	社会上的连环杀手还说自己杀的都是社会蛀虫呢，你是不是也要叫好？清洗和真正的反腐的区别是有没有真正的审判，有没有真凭实据，是不是真的对国家和人民造成了损害。	第一类	others
他和内地的吴秀波有点相似真心觉得有人有同感吗	说不上哪里像却给人的感觉有些神似我也很喜欢吴秀波	wow遇到知音啦超喜欢吴秀波哒嘿嘿	happy
我今天被人骗了我好难过真的好难过	我懂你的感受同待业我前天晚上出去散心还差点被骗色了回到家还被锁门外等到凌晨三点才进门一直到现在还没跟好朋友和家人提	恩恩我现在也是心里总是觉得怕怕的说可以好好去找工作的但是似乎感觉更加没有信心了	sad
看这里看这里	好萌的猫咪	以前养的哈哈	happy
知乎有个统计，一个字平均获最多赞的回答，我看了看我也就能排一百…你可以搜搜那个	好吧。改成我看到的之中…	哈哈其实我也很好奇这个问题	happy
我很奇怪，这么严苛的工作，给的钱还那么少，换作我早就开始天天摸鱼了，你们怎么还不走？	航天这块有时候没法摸鱼，干了不得不认真干，反正越干越恶心	屎遁大法好	others
都烧了貌似也没减排	生产设备烧了	原来如此	others
终于发电了……	涨工资了么？	老家是那儿，不是在那里就职😄	happy
学姐(历史系)的老板直接问她:你为什么要睡觉呢，我在哈佛都只睡4小时的。然后学姐崩溃了两年，一个字没写出来，后来直接消失了，真的消失了，谁都不知道她去了哪里……众博士皆苦	好惭愧，我以前一直以为国内文科博士很轻松的。	不过不在国内	others
撩我。。。	这是网络流行语啊！不过你也可以认为我在撩你，因为你有才。而我欣赏有才的人	欢迎来撩😄😄😄	happy
有没有要这个app的？  我群里有～	要要要	我评论里面分享了	others
做了13年餐饮业，真心累。生意好服务厨房跟不上急，生意不好天天亏急。多做几年就知道，路很长很多要学。生在餐饮业发达的长沙。因为合伙经营的问题刚拆伙，现在在找铺面中，洗手再干。	在长沙哪儿呢	荷花路高岭小区。嘿嘿	happy
去民宗委吧！	基本上只要一个，而且  一般要男不要女	心疼你……	sad
晚上我也看看	強烈推薦	3q啦正在下哈哈	happy
是啊，溺爱是一方面，还有的父母压根不管孩子，等到发现孩子不按照他们幻想的路走了，就把他送去电击。。。这种家长也是没什么可以说的了	要解决杨永信必须依靠强有力的手段，让他永不翻身，像这样的隔靴搔痒只会让他的信徒更多，因为在旁人看来他面对如此众多的质疑还能持续开展业务就是证明了他的正确性	有什么比法律更强力呢，但是他和地方政府的勾结，唉。。。	sad
虽然很犀利，但是真的是真情实感啊~	哈哈哈哈哈 还好我自己家里有钱 足以支撑我啥都不干只玩就行了[捂脸]从来没操心过这种问题 [调皮]	厉害	happy
不明白，有什么不同。	因为英语我们从小就在学，而日语韩语并不是这样啊	，我只能说，您太高估我国农村的基础教育了。我很多从农村考出来的同事告诉我他们在初中是没有学过音标的，英语老师的乡音更是重到让人听不懂她在说什么，所以，到现在他们的英语也只停留在看和写，听很勉强，说是不可能（本人在大学任教）。那您认为在这样的教育情况下，赵丽颖能有和您相同的英语基础水平。	others
真的，我一般装机都问他们几个问题，答不上来，答错就推掉。硬件知识没入门 不装打驱动装系统不会 不装内存 硬盘 Intel amd 傻傻分不清 不装给这些人装机了就是头疼，免费客服加售后，装好了还抱怨你慢，还嫌你装的贵(宁美国度比不过，左转出门上整机，再见)	那请问硬件知识和驱动系统知识去哪里get？[害羞]	知乎就不错，有些讲硬件的答主就很专业	others
华南理工想建医学院很久了，南方医大不行，广医大不行，省人民医院，行了。这是什么意思？	就是华工想搞医学院，前面两所都没跟华工合作，现在省人民医院跟华工合作成立了医学院	噢……我说前几天去华工怎么多了个医学院……	others
楼主说林过气，你拿周杰伦出来说事，你是脑子不好使？还是想酸谁你不清楚？周是抢你媳妇了？	我说杰伦其他比他好有问题吗，我说你这人挑拨骂你有问题吗	就你这智商还玩贴吧？别人挑拨你也要上？你不是脑残是什么？呵呵，看起来你才是一条需要狗粮的丧家犬，哈哈	angry
听说女生都喜欢被强吻是真的嘛	初吻是强吻的飘过	哈哈我也是	happy
刚刚再瞄了一下你的微博，看来你我的光哥都是同一个~嘿嘿~我跟他关系挺铁，不过暂时不在他手下干活~哈哈	他是我大哥呀，呵呵	握个爪握个爪~！	happy
反正我回去肯定先看謝德慶的台灣最早的行為藝術家這次展覽是他一個行為藝術的紀錄照片	那好吧等你回来的	一起去看展麼〜好啊咩哈哈	happy
谢谢指教啦。您是指坚持四项基本原则因为是写入了宪法总则中的原因，所以是具有最高法律效力的么？（因为感觉没有具体的部门法，总感觉这方面有点虚。）我不是法律专业的学生，只是爱好者而已，最近就是在思考党是如何确立自己对国家机关、社会的绝对领导的。没有其他意思，只是想单纯的想了解。	对，故意留出模糊空间，这就是政治的艺术	好的，谢谢指教~	others
没有办法的超自然灾害，我不知道有什么好黑的	现在手里 正在做市里（中核都市，也不算小）的一个雨水改订规划项目，整理了近五年下暴雨期间河川課、道路保全課、危機管理課的出动记录。发现全都是些没多大关系的事儿，但那些市民却大惊小怪得不得了，什么路上积水30cm深了啊，水要流进我得院子里了你们赶紧过来堆土袋防水之类的，牛气得不得了。。。我在想，要是到了出人命这种地步，这些市民还不得把整个政府给掀翻了？	泥石流和淹水不是一个级别谢谢	others
不可否认，京东整体的服务还是很棒的。	现在谈的是降薪，你提什么服务，牛头不对马嘴	顺便扯下京东，哈哈哈	happy
算了不说了，我在澳洲和北美都只住2万英尺以上的别墅，老婆不工作，物质上我基本不缺啥。我只不过是普通程序员。我喝的都是天然牛奶和果汁，光这个国内都是贵5倍以上。肉类： 我这周买了一个全羊，80美元，国内可能是这个价格？我的保时捷，国内贵3倍。说北美国外物价贵，我都不想说什么了。	你没在SAN JOSE租过房子吧 弟弟	大哥，没有。俺没事不去aa的州。	others
我不知道怎样才能更宁静能不能推荐一部经我来抄一抄	普贤菩萨行愿品地藏菩萨本愿经般若摄颂百业经佛说金光胜往经大方广佛华严经我喜欢的是这些	好谢谢	happy
按照答主的推荐，撸了4部了，满满的负能量，感觉人性都要变了	看一部都够呛了。 一次四部。。人才啊小兄弟	哈哈哈，家里电脑在下载着月球，准备晚上回去撸。发现看完后如果能挺过来，内心会变得无比强大	happy
答主今晚会更吗 不会	还真是(●･ˇ_ˇ･●)	我多希望我一觉醒来脸是肿的😌	sad
楼主是单亲，他们把你娘撵走你都能忍？这特么协议你是用屁股想出来的？房子都不要送小舅子，你跟你儿子等你挣钱买个80平？我觉得你儿子单亲就够可怜的了，他爹这脑子更可怜，脑瘫早点治。没有过错最次也是平分吧，你带孩子女方得给抚养费吧，你特么合着是把你自己和你儿子一起好好坑了一把，然后还叫唤着都是为了孩子好，你这要是真事我只能送你俩字沙比，希望你能聪明点赶紧把协议抢回来重新谈！	我们还有一套房子…	你妈单亲养大你，你竟然不跟你妈妈住一起孝敬她？真无语，你真是有了老婆忘了娘	others
我是数学老师……	我得逃! ! !一看到数学老师整个人都不好了。	哈哈哈哈哈	happy
曼联需要更纯粹的爆破手，组织核心的话，可以内部挖潜，倒是不觉得格里斯曼是曼联的必须品。	呵呵，我魔的球迷真是眼高手低，格子都看不上了？格子能来我魔的进攻直接上一档，看看欧洲杯的法国和马竞的比赛就知道了，格子低迷的时候这俩队的进攻踢得什么玩意儿就知道了，还有就是不要影响流格子突破不好。	我抬现在坑的要死，快成球星黑洞了，你确定格子来现在的我抬能发挥正常水平	others
你们听过gala乐队么	我们这有个苹果也叫gala哈哈哈哈哈哈哈哈哈哈哈lz你是平谷人么	我是济南人哈哈	happy
我不会被陈建州举报吧	给你个回复把	谢谢	others
规模效应。	江苏山东浙江这三个省网，每个单拎出来也是世界500强。	那又如何呢，人口在那里。	others
